Platform,Category,Account/Service,Username/Email,Password/Key,Recovery Email/Phone,2FA Enabled,Notes
"Twitter","Social Media","Main Account","","","",TRUE,"Primary organizational account"
"Twitter","Social Media","Ads Account","","","",TRUE,"Account for running ads"
"LinkedIn","Social Media","Company Page","","","",TRUE,"Company's LinkedIn presence"
"LinkedIn","Social Media","Employee Advocacy Tool","","","",TRUE,"Tool for employee sharing"
"Facebook","Social Media","Main Page","","","",TRUE,"Main business page"
"Facebook","Social Media","Ads Manager","","","",TRUE,"For ad campaigns"
"Instagram","Social Media","Business Account","","","",TRUE,"Company's Instagram profile"
"TikTok","Social Media","Brand Account","","","",TRUE,"Company's TikTok account"
"YouTube","Social Media","Channel Account","","","",TRUE,"Company's YouTube channel"
"GitHub","Development","Main Repository","","","",TRUE,"Primary code repository"
"GitHub","Development","Organization Account","","","",TRUE,"Organization-level access"
"Version Control","Development","[e.g., Bitbucket, GitLab]","","","",TRUE,"Secondary repository"
"CI/CD Systems","Development","[e.g., Jenkins, CircleCI]","","","",TRUE,"Continuous integration server"
"Namecheap","Web Infrastructure","Main Account","","","",TRUE,"Domain registrar account"
"Namecheap","Web Infrastructure","Secondary Account","","","",TRUE,"Backup domain account"
"Hosting Providers","Web Infrastructure","[e.g., AWS, Azure, GCP]","","","",TRUE,"Cloud hosting provider"
"Hosting Providers","Web Infrastructure","Staging Environment","","","",TRUE,"Staging server access"
"Gmail","Email & Communication","Main Business Email","","","",TRUE,"Primary company email"
"Discord","Email & Communication","Server Admin","","","",TRUE,"Team communication server"
"Slack","Email & Communication","Workspace Owner","","","",TRUE,"Team collaboration platform"
"Blockchain Wallets","Web3 Platforms","[e.g., MetaMask, Gnosis Safe]","","","",TRUE,"Primary crypto wallet"
"NFT Marketplaces","Web3 Platforms","[e.g., OpenSea, Rarible]","","","",TRUE,"NFT platform account"
"DeFi Platforms","Web3 Platforms","[e.g., Aave, Compound]","","","",TRUE,"DeFi platform access"
"Accounting","Business Services","[e.g., QuickBooks, Xero]","","","",TRUE,"Financial management software"
"CRM","Business Services","[e.g., Salesforce, HubSpot]","","","",TRUE,"Customer relationship management"
"Project Management","Business Services","[e.g., Jira, Asana]","","","",TRUE,"Project tracking tool"
